ID,company,job_title,job_location
96,Amach,Contracts Analyst,"County Dublin, Dublin"
97,Northern Trust Corp,Insider Threat Intelligence Analyst,"Limerick, County Limerick"
98,Avery Dennison,AP Process Analyst,"Moneygall, County Offaly"
99,AIG,Process Analyst,"County Dublin, Dublin"
100,Graebel Companies Inc.,Vendor Audit Analyst,"Dundalk, County Louth"
101,S & P Global,CREDit Graduate Program Analyst - Structured Finance- Dublin,"County Dublin, Dublin"
102,Centrica,Associate Sales Support & Administration Analyst - IRE F,"County Dublin, Dublin"
103,Yahoo Emea Limited,Weekend Shift- Forensic and Incident Response Operations (FIRE) Analyst,"Moneygall, County Offaly"
104,IQVIA,Snr Data Team Lead,"County Dublin, Dublin"
105,IQVIA,Senior Clinical Data Team Lead (Senior DTL) - FSP,"County Dublin, Dublin"
