Skill,Frequency
R,105
Power BI,46
SQL,46
Python,43
Excel,31
Statistics,30
Machine Learning,29
Azure,28
Tableau,24
Data Visualization,12
AWS,11
Looker,9
SAS,9
PowerPoint,7
Spark,4
Google Cloud,3
Pandas,2
Hadoop,2
Jupyter,1
Qlik,1
NumPy,1
SPSS,1
